Question,Tag
I had a winforms C class that internally was looking up a file to help unit test i changed it to pass in a file from the outside such as string file Path GetDirectoryName Assembly GetExecutingAssembly Location TestXML xml Foo new Foo file the problem is that the code works fine normally but when run in Nunit it comes us with an error saying Cant find directory C doc amp settings testxml xml any thoughts,csharp
I have a C library and a C application trying to use functions and classes exported from the library The library builds fine and the application compiles but fails to link The errors I get follow this form app source file cpp text 0x2fdb undefined reference to lib namespace GetStatusStr int Classes in the library seem to be resolved just fine by the linker but free functions and exported data like a cosine lookup table invariably result in the above error I am using Ubuntu 8 04 Hardy and it is up to date with the latest Unbuntu packages The command to link the library is with other libraries removed g fPIC Wall O3 shared Wl soname lib in question so o project lib release lib in question so The command to link the application is with other libraries removed g fPIC Wall O3 L project lib release llib in question o project release app in question Finally it appears as best as I can tell that the symbols in question are being exported properly nm D project lib release lib in question so grep GetStatusStr gt U _ZN3lib namespace12GetStatusStrEi,cpp
I understand that inline by itself is a suggestion to the compiler and at its descretion it may or may not inline the function and it will also produce linkable object code I think that static inline does the same may or may not inline but will not produce linkable object code when inlined since no other module could link to it Where does extern inline fit into the picture Assume I want to replace a preprocessor macro by an inline function and require that this function gets inlined e g because it uses the __FILE__ and __LINE__ macros which should resolve for the caller but not this called function That is I want to see a compiler or linker error in case the function does not get inlined Does extern inline do this I assume that if it does not there is no way to achieve this behavior other than sticking with a macro Are there differences between C and C Are there differences between different compiler vendors and versions,cpp
What s the best way to get the last inserted id using sqlite from Java Google is giving me different answers some say select the last insert rowid others say call statement getGeneratedKeys What s the best route to take I just want to return the id not use it for other inserts or anything,java
One of our providers are sometimes sending XML feeds that are tagged as UTF 8 encoded documents but includes characters that are not included in the UTF 8 charset This causes the parser to throw an exception and stop building the DOM object when these characters are encountered DocumentBuilder parse ByteArrayInputStream bais throws the following exception org xml sax SAXParseException Invalid byte 2 of 2 byte UTF 8 sequence Is there a way to capture these problems early and avoid the exception i e finding and removing those characters from the stream What I m looking for is a best effort type of fallback for wrongly encoded documents The correct solution would obviously be to attack the problem at the source and make sure that only correct documents are delivered but what is a good approach when that is not possible,java
On Mac OS X I canÃ Â Ã Â Ã Â t enter a pound sterling sign Ã Â Ã Â into the Python interactive shell Mac OS X 10 5 5 Python 2 5 1 r251 54863 Jan 17 2008 19 35 17 European keyboard Ã Â Ã Â is shift 3 When I type shift 3 in the Python interactive shell I seem to invoke the previous word function i e the cursor will move to the start of the last Ã Â Ã Â Ã Â wordÃ Â Ã Â Ã Â i e space delimited item typed on the line When IÃ Â Ã Â Ã Â m back in the bash shell typing shift 3 just produces a Ã Â Ã Â as expected This version of Python apparently uses editline for its interactive shell as opposed to readline IÃ Â Ã Â Ã Â m guessing that one of the default editline key bindings binds shift 3 or whatever editline sees when I type shift 3 to the ed prev word command IÃ Â Ã Â Ã Â ve tried a few things in my editrc file to remove this binding and they donÃ Â Ã Â Ã Â t have any effect bind r Ã Â Ã Â bind r 243 bind r 156 And another that causes a bus error bind Ã Â Ã Â 243 Any ideas,python
Using Apache s commons httpclient for Java what s the best way to add query parameters to a GetMethod instance If I m using PostMethod it s very straightforward PostMethod method new PostMethod method addParameter key value GetMethod doesn t have an addParameter method though I ve discovered that this works GetMethod method new GetMethod http www example com page method setQueryString new NameValuePair new NameValuePair key value However most of the examples I ve seen either hard code the parameters directly into the URL e g GetMethod method new GetMethod http www example com page key value or hard code the query string e g GetMethod method new GetMethod http www example com page method setQueryString key value Is one of these patterns to be preferred And why the API discrepancy between PostMethod and GetMethod And what are all those other HttpMethodParams methods intended to be used for,java
I have a PHP form mortgage app that is about 400 fields traffic on the site will be low What is the ideal Session size for 400 fields going into a MySQL db In php ini what do I set Anything I should set that I am missing,php
What s the best way to format this for readability if strpos file jpg 1 amp amp file_exists thumbsdir file false strpos file gif 1 amp amp file_exists thumbsdir file false strpos file png 1 amp amp file_exists thumbsdir file false createThumb gallerydir file thumbsdir file thumbsize fwrite log date Y m d date H i s CREATED thumbsdir file n,php
Is there any good way to use a windows application written in C to display control a powerpoint slideshow Ultimately I would like to show thumbnails in a form and clicking these thumbnails would advance the slides shown on a second monitor similar to using Powerpoint itself to show a slideshow on a second monitor I would like to be able to use Powerpoint Viewer if Powerpoint is not installed There seems to be some ActiveX controls that allows integration of Powerpoint in a form but most of these seem to cost money does anyone have experience using one of these controls Edit I know that there is an object model accessable by adding a reference to Microsoft Office InterOp Powerpoint but I want to be able to distribute the resulting program without having Microsoft Office as a prerequisite that was why I mentioned Powerpoint Viewer because it can be distributed freely,csharp
i want to write code for unit test to test my application code I have different methods and now want to test these methods one by one in python script but i do not how to i write can any one give me example of small code for unit testing in python i am thankful,python
How do I generate friendly URLs within the ASP NET MVC Framework For example we ve got a URL that looks like this http site catalogue BrowseByStyleLevel 1 The 1 is Id of the study level Higher in this case to browse but I l like to reformat the URL in the same way StackOverflow does it For example these two URLs will take you to the same place http stackoverflow com questions 119323 nested for loops in different languages http stackoverflow com questions 119323 EDIT The friendly part of the url is referred to as a slug,csharp
In the documentation of hardware that allows us to control it via UDP IP I found the following fragment In this communication protocol DWORD is a 4 bytes data WORD is a 2 bytes data BYTE is a single byte data The storage format is little endian namely 4 bytes 32bits data is stored as d7 d0 d15 d8 d23 d16 d31 d24 double bytes 16bits data is stored as d7 d0 d15 d8 I am wondering how this translates to C Do I have to convert stuff before sending it over For example if I want to send over a 32 bit integer or a 4 character string,csharp
Is there a class in the standard library of NET that gives me the functionality to create random variables that follow Gaussian distribution,csharp
If I need to throw an exception from within my application which of the built in NET exception classes can I use Are they all fair game When should I derive my own,csharp
Does Java Connection close rollback into a finally block I know Net SqlConnection close does it With this I could make try finally blocks without catch Example try conn setAutoCommit false ResultSet rs executeQuery conn executeNonQuery conn conn commit finally conn close,java
I allow users to enter a regular expression to match IP addresses for doing an IP filtration in a related system I would like to validate if the entered regular expressions are valid as a lot of userse will mess op with good intentions though I can of course do a Regex IsMatch inside a try catch and see if it blows up that way but are there any smarter ways of doing it Speed is not an issue as such I just prefer to avoid throwing exceptions for no reason,csharp
Although elements like lt div gt s normally grow to fit their contents using the float property can cause a startling problem for CSS newbies if floated elements have non floated parent elements the parent will collapse For example lt div gt lt div style float left gt Div 1 lt div gt lt div style float left gt Div 2 lt div gt lt div gt The parent div in this example will not expand to contain its floated children it will appear to have height 0 How do you solve this problem I would like to create an exhaustive list of solutions here If you re aware of cross browser compatibility issues please point them out Solution 1 Float the parent lt div style float left gt lt div style float left gt Div 1 lt div gt lt div style float left gt Div 2 lt div gt lt div gt Pros Semantic code Cons You may not always want the parent floated Even if you do do you float the parents parent and so on Must you float every ancestor element Solution 2 Give the parent an explicit height lt div style height 300px gt lt div style float left gt Div 1 lt div gt lt div style float left gt Div 2 lt div gt lt div gt Pros Semantic code Cons Not flexible if the content changes or the browser is resized the layout will break Solution 3 Append a spacer element inside the parent element like this lt div gt lt div style float left gt Div 1 lt div gt lt div style float left gt Div 2 lt div gt lt div class spacer style clear both gt lt div gt lt div gt Pros Straightforward to code Cons Not semantic the spacer div exists only as a layout hack Solution 4 Set parent to overflow auto lt div style overflow auto gt lt div style float left gt Div 1 lt div gt lt div style float left gt Div 2 lt div gt lt div gt Pros Doesn t require extra div Cons Seems like a hack that s not the overflow property s stated purpose Comments Other suggestions,html
We ve had problems with a virus scanner murdering the performance of our app by slowing down writes to an H2 db So we d like to be able to detect the presence of any virus scanner and alert the user of the potential problem It would be part of a problem detection retue that would alert users to known performance factors specific to their systems The current suggestion is a write test that displays the warning if a disk write takes an unreasonable amount of time That does get to the actual problem but not to the cause So is there any reliable and direct way to detect virus protection one that doesn t rely on indirect effects We might end up doing both but it would be nice to be curtain in our suggestions,java
I have a Bluehost account where I can run Python scripts as CGI I guess it s the simplest CGI because to run I have to define the following in htaccess Options ExecCGI AddType text html py AddHandler cgi script py Now whenever I look up web programming with Python I hear a lot about WSGI and how most frameworks use it But I just don t understand how it all fits together especially when my web server is given Apache running at a host s machine and not something I can really play with except defining htaccess commands How are WSGI CGI and the frameworks all connected What do I need to know install and do if I want to run a web framework say web py or CherryPy on my basic CGI configuration How to install WSGI support,python
I ve recently inherited a fairly large web site The project is set up as a web site in Visual studio and not a Web Application For a number of reasons I would like to convert it to a web application I started converting the application using these directions from Scott Gu Migrating a VS 2005 Web Site Project to VS 2005 Web Application Project While doing the conversion I discovered that this web site uses a ton of include directives to include other aspx files The main problem with this is that currently each code behind file directly calls controls using this from the pages it is including This behavior seems to be allowed by the way that the compiler dynamically creates the designer files in memory at compile time The problem is that since I m converting the application to a Web Application I m creating physical versions of the designer files Now the same call to controls on the included pages using this no longer work I ve tried a few things to try and remedy this First I noticed that the aspx include files didn t have a Page directive so I tried adding one This prevented the app from compiling because the main page now had multiple page directives Second I tried to just rename the included aspx files to inc but I still have the same problem of the main page no longer being able to access the controls as they could before Anyone ever done this before and have any thoughts on how to proceed without changing the entire structure of the web site edit I decided not to go through with the conversion at this time simply because any benefits gained wouldn t be worth the trouble Thanks for the help,csharp
Working through some programming interview challenges I found online I had to write an algorithm to reverse a const char and return a pointer to a new char I think I have it but to make it work properly I had to do some wonky stuff basically having to account for the null terminating character myself Somehow I feel this is wrong but I m stumped and I was wondering if someone could help me out char reverse const char str int length strlen str char reversed_string new char length 1 for int i 0 i lt length i reversed_string i str length 1 i need to null terminate the string reversed_string length 0 return reversed_string int main int argc char argv char rev_str reverse Testing cout lt lt Your string reversed is this lt lt rev_str lt lt endl delete rev_str rev_str 0 return 0,cpp
I ve been searching around and haven t found any reference to tools that can create Safari s webarchive format Does anyone have pointers to code for creating this format or at least a format reference documentation Ideally I d like to build a tool that takes a directory and splits out a webarchive for loading into a iPhone,ios
In Visual Studio I often use objects only for RAII purposes For example ScopeGuard close_guard MakeGuard amp close_file file The whole purpose of close_guard is to make sure that the file will be close on function exit it is not used anywhere else However Visual Studio gives me a warning that a local variable is initialized but not referenced I want to turn this warning off for this specific case How do you deal with this kind of situation Visual Studio thinks that this object is useless but this is wrong since it has a non trivial destructor I wouldn t want to use a pragma warning directive for this since it would turn off this warning even for legitimate reasons,cpp
I have a WordPress site 2 6 2 in which I have set the Home page to a static page instead of the normal posts page The ID of this page is 2 so in the WordPress template I have changed the wp_list_pages to look like this lt php wp_list_pages exclude 2 amp title_li amp depth 1 gt this works fine but now the Home page doesn t get lit up when it s selected because in fact it s page_id 2 that is selected and it doesn t show in the menu Is there any easy way around this If not in broad outlines what s the hard way around this Make my own version of the wp_list_pages function Thanks,php
I have a POCO object that goes 4 levels deep contained objects like Invoice has line items that have taxes that have gl entries and I want to turn the entire thing into a DataSet So there would be 4 tables each with constraints being applied to the parent table Does anyone know of something that would automated this,csharp
I do TDD on a daily basis for my C development on Solaris10 It has greatly reduced the time I have to spend using my debugger but sometime this is the only option DBX is pretty powerful but not that user friendly Note that I m talking about console DBX not the SunStudio GUI for DBX What are the best productivity tips you can give for dbx C debugging PS Changing debugger is not an option,cpp
How do I enable double buffering of a control using C Windows forms I have a panel control which I am drawing stuff into and also an owner drawn tab control Both suffer from flicker so how can I enable double buffering,csharp
I m looking for a Java library that is geared towards network math and already tested Nothing particularly fancy just something to hold ips and subnets and do things like print a subnet mask or calculate whether an IP is within a given subnet Should I roll my own or is there already a robust library for this,java
I am curious as to why an implicit cast fails in int someValue SomeCondition ResultOfSomeCalc null and why I have to perform an explicit cast instead int someValue SomeCondition ResultofSomeCalc int null It seems to me that the compiler has all the information it need to make an implicit casting decision no,csharp
So the transparent background problem is solved Now every time I show the form or have to have it repainted I get a lot of flickering Is there any way I can not update the screen until the paint event is complete or any other way to stop the 1 2 second of flickering and flashing while all the objects are being painted ANSWER Double buffering is the way to go I was already double buffering on the control but it has to be set on the form I though double buffering only worked when you were subclassing OnPaint yourself,csharp
I ve got the bare minimum to handle the Linux MySQL parts of the stack but I want to have a basic grasp of PHP before I dive in I ll be working on WordPress plugins in case there s anything specifically interesting for that PS any recommendations regarding recommended source control IDEs would also be great but I guess that s a separate question,php
This works but is it the proper way to do it I have a custom server control that has an input box on it I want it to kinda mimic the ASP NET TextBox but not completely When the textbox is rendered i have a javascript that allows users to select values that are then placed in that input box I have a public text property on the control In the get set i get set the viewstate for the control that part is easy but when the control is populated via the javascript the Text get is not actually called what is the proper way to set this exposed property using JavaScript or even if the user just types in the box Edit In the OnInit i ensure the state is maintained by reaching into the form values protected override void OnInit EventArgs e base OnInit e if HttpContext Current Request Form MyInputBoxValue ViewState MyInputBoxValue HttpContext Current Request Form MyInputBoxValue Then to get the value actually back in place in the HtmlTextWrite i do this protected override void RenderContents HtmlTextWriter output There is an input control here and i set its value property like this using the Text internal defined output Write lt input value Text gt thanks,csharp
I have a DataGridView WinForms in which I have defined a custom EditingControl derived from DataGridViewTextBoxEditingControl that only allows numeric characters I need to raise CellValueChanged event on the DataGridView each time the user press a key but the default behaviour is to raise the event only when edition has been completed How can I raise the event each time a key is pressed public class DataGridViewNumericTextBoxEditingControl DataGridViewTextBoxEditingControl protected override void OnKeyPress KeyPressEventArgs e e Handled Char IsLetter e KeyChar if e Handled RaiseDataGridViewCellValueChanged lt Any way Update I ve found a workaround but I m not sure it s a good solution public class DataGridViewNumericTextBoxEditingControl DataGridViewTextBoxEditingControl protected override void OnKeyPress KeyPressEventArgs e e Handled Char IsLetter e KeyChar if e Handled EditingControlDataGridView EndEdit EditingControlDataGridView BeginEdit false,csharp
I don t understand why does the following regular expression Match the string 127 0 0 1 Using Regex IsMatch 127 0 0 1 Using Expresso it does not match which is also what I would expect Using the expression does match the string which I would also expect Technically should match the beginning of a string line any number of times followed by the ending of the string line It seems is implicitly treated as a What am I missing EDIT Run the following to see an example of the problem using System using System Text RegularExpressions namespace RegexFubar class Program static void Main string args Console WriteLine Regex IsMatch 127 0 0 1 Console Read I do not wish to have match my string I am wondering why it does match it I would think that the expression should result in an exception being thrown or at least a non match EDIT2 To clear up any confusion I did not write this regex with the intention of having it match 127 0 0 1 A user of our application entered the expression and wondered why it matched the string when it should not After looking at it I could not come up with an explanation for why it matched especially not since Expresso and NET seems to handle it differently I guess the question is answered by it being due to the NET implementation avoiding throwing an exception even thought it s technically an incorrect expression But is this really what we want,csharp
Scenario If anyone has answered viewed my questions recently this will be somewhat familar I have 3 different web services which expose a set of objects that have commonality I ve written wrapper classes and conversion logic using generic methods to change between the intermediary objects and the service object I have an interface for the Webservice let it be called IService for the purpose of this question I have 3 implementation classes Service1Impl Service2Impl and Service3Impl Each of these referencing a different web service and using my aforementioned generic methods to convert between the appropriate objects These are injected into my ServiceWrapper class at runtime via the constructor a factory is used to create the appopriate implementation of the ISerivice e g _service ServiceWrapper GetServiceWrapper 2 Will give me a ServiceWrapper instantiated with the Service2Impl Dammit diagrams would be hella useful Ok so each implementation of IService has a method called for arguments sake GetProperties public IProperty GetProperties string item IProperty properties Property props ServiceObjectFactory CreateProperties lt Property gt properties Property result _service GetProperties item props return ServiceObjectFactory CreateProperties result This looks a little confusing I think I m going to refactor the names Basically what is happening is The call to this function from ServiceWrapper is made with the intermediary objects IProperty as you can see from the parameters The intermediary objects are converted to Property objects which are service specific The result comes back as service specific Property objects The result is converted to the intermediary objects before being passed back to the ServiceWrapper Now this code is going to be exactly the same for Service1Impl Service2Impl and Service3Impl Except of course that the types used are different Can anyone think of a way to do this so that I don t have the same code 3 times N B This is not true of every method in each Implementation Just most of them,csharp
I d like them to be easy to bundle with few dependencies and easy to use,java
What are the best ways of dealing with UTC Conversion and daylight saving times conversion What are the problems and their solutions All in C Net 2 0 Also any existing problems with this in Net 2 0,csharp
After staring at this 3D cube and these triangles for a while I started wondering if there s any good reliable Javascript graphics library with basic 3D support Any suggestion,javascript
I have two BufferedImages I loaded in from pngs The first contains an image the second an alpha mask for the image I want to create a combined image from the two by applying the alpha mask My google fu fails me I know how to load save the images I just need the bit where I go from two BufferedImages to one BufferedImage with the right alpha channel,java
This article describes a way in C to allow the addition of arbitrary value types which have a operator defined for them In essence it allows the following code public T Add T val1 T val2 return val1 val2 This code does not compile as there is no guarantee that the T type has a definition for the operator but the effect is achieved with code like this public T Add T val1 T val2 Num lt T gt defines a operation which returns a value of type T return new Num lt T gt val1 new Num lt T gt val2 Follow the link to see how the Num class achieves this Anyways on to the question Is there any way to achieve the same effect in C or C For the curious the problem I m trying to solve is to allow a CUDA kernel to be more flexible general by allowing it to operate on more types Update For NET Marc Gravell has made a utility library which solves the operator problem very elegantly,cpp
How can I create 7 Zip archives from my C console application I need to be able to extract the archives using the regular widely available 7 Zip program Here are my results with the examples provided as answers to this question Shelling out to 7z exe this is the simplest and most effective approach and I can confirm that it works nicely As workmad3 mentions I just need to guarantee that 7z exe is installed on all target machines which is something I can guarantee 7Zip in memory compression this refers to compressing cookies in memory before sending to the client this method seems somewhat promising The wrapper methods wrapping the LZMA SDK return type byte When I write the byte array to a file I can t extract it using 7 Zip File 7z is not supported archive 7zSharp Wrapper found on CodePlex this wraps the 7z exe LZMA SDK I referenced the project from my app and it successfully created some archive files but I was unable to extract the files using the regular 7 Zip program File 7z is not supported archive 7Zip SDK aka LZMA SDK I guess I m not smart enough to figure out how to use this which is why I posted here Any working code examples that demonstrate creating a 7zip archive that is able to be extracted by the regular 7zip program CodeProject C NET Interface for 7 Zip Archive DLLs only supports extracting from 7zip archives I need to create them SharpZipLib According to their FAQ SharpZipLib doesn t support 7zip,csharp
After using array_unique an array without the duplicate values is removed However it appears that the keys are also removed which leaves gaps in an array with numerical indexes although is fine for an associative array If I iterate using a for loop I have to account for the missing indexes and just copy the keys to a new array but that seems clumsy,php
I d like to write Python scripts that drive Visual Studio 2008 and Visual C 2008 All the examples I ve found so far use win32com client Dispatch This works fine for Excel 2007 and Word 2007 but fails for Visual Studio 2008 import win32com client app1 win32com client Dispatch Excel Application ok app2 win32com client Dispatch Word Application ok app3 win32com client Dispatch MSDev Application error Any ideas Does Visual Studio 2008 use a different string to identify itself Is the above method out dated,python
I have to copy quite a lot of files from one folder to another Currently I am doing it in this way string files Directory GetFiles rootFolder xml foreach string file in files string otherFile Path Combine otherFolder Path GetFileName file File Copy file otherFile Is that the most efficient way Seems to take ages EDIT I am really asking if there is a faster way to do a batch copy instead of copying individual files but I guess the answer is no,csharp
At the moment my code looks like this Assign values for saving to the db data array table_of_contents gt _POST table_of_contents length gt _POST length Check for fields that may not be set if isset _POST lossless_copy data array lossless_copy gt _POST lossless_copy etc This would lead to endless if statements though Even with the ternary syntax it s still messy Is there a better way,php
I m in the process of making my PHP site Unicode aware I m wondering if anyone has experience with the mbstring func_overload setting which replaces the normal string functions e g strlen with their multi byte equivalents mb_strlen There aren t any comments on the PHP manual page Are there any potential problems that I should be aware of Any cases where calling the multi byte version is a bad idea I suppose one example would be functions that deal with encryption since they may expect to deal with strings of bytes rather than strings of characters Also the manual page includes a note It is not recommended to use the function overloading option in the per directory context because it s not confirmed yet to be stable enough in a production environment and may lead to undefined behaviour Does that mean that it s not stable in a per directory context or it s generally not stable The wording is unclear,php
I have an HTML input box lt input type text id foo value bar gt I ve attached a handler for the keyup event but if I retrieve the current value of the input box during the event handler I get the value as it was and not as it will be I ve tried picking up keypress and change events same problem I m sure this is simple to solve but at present I think the only solution is for me to use a short timeout to trigger some code a few milliseconds in the future Is there anyway to obtain the current value during those events EDIT looks like I had a caching problem with my js file as I checked the same code later on and it worked just fine I would delete the question but not sure if that loses rep for the kind folk who posted ideas,javascript
I have an HTML input box lt input type text id foo value bar gt I ve attached a handler for the keyup event but if I retrieve the current value of the input box during the event handler I get the value as it was and not as it will be I ve tried picking up keypress and change events same problem I m sure this is simple to solve but at present I think the only solution is for me to use a short timeout to trigger some code a few milliseconds in the future Is there anyway to obtain the current value during those events EDIT looks like I had a caching problem with my js file as I checked the same code later on and it worked just fine I would delete the question but not sure if that loses rep for the kind folk who posted ideas,javascript
What s the better way to insert cell comments in excel 2007 files programmaticaly using c and net 3 5,csharp
I am getting a MouseEvent in Java the getPoint method is adding the height of the title bar into the y portion of the coordinate I was wondering how I can find the height of the title bar of the current window in order to offset the y value by the correct amount,java
C MDI application with separate GUI threads for each child in MDI is that possible For example if one of the child forms is blocked by some synchronous request it freezes the entire container MDI Parent and the other windows open also become in accessible In general is it possible to have more than one GUI thread in net windows form app domain In visual studio default winform application has STA single threaded apartment setup In theory I understand what MTA means here but what is the practical use of it In my use case the individual mdi child are developed by various teams who may not defer blocking calls in an async manner so I am just wondering if its possible to have multiple UI threads although its not advisable I completely agree edit 1 I can think of google chrome browser as an example where individual tab is a separate process probably with a dedicated GUI thread Is something like this possible in a dot net app,csharp
Simple question that keeps bugging me Should I HTML encode user input right away and store the encoded contents in the database or should I store the raw values and HTML encode when displaying Storing encoded data greatly reduces the risk of a developer forgetting to encode the data when it s being displayed However storing the encoded data will make datamining somewhat more cumbersome and it will take up a bit more space even though that s usually a non issue,html
On the client machine I need to be able to somehow detect which sites the current user are looking at right now I know the base URL of the sharepoint app say sharepoint thecompany net but how the hack do I get the last requested url from the server I have hit a dead stop when trying to iterate the current processes and the casting the iexplorer process to something I can work with I just don t know which kind of object to cast the process to I hope to implement this logic in a C assembly what should run on the client box Any other approach that might work Thanks in advance,csharp
My class is implementing a super class method which which returns List lt JComponent gt The list being returned is read only public abstract class SuperClass public abstract List lt JComponent gt getComponents In my class I want to return a field which is declared as List i e a sub list public class SubClass extends SuperClass private List lt JButton gt buttons public List lt JComponent gt getComponents return buttons This generates a compiler error as List lt JButton gt is not a subtype of List lt JComponent gt I can understand why it doesn t compile as it shouldn t be allowed to add a JTextField to a List of JButtons However as the list is read only then conceptually this should be allowed But of course the compiler doesn t know that it is read only Is there any way to achieve what I want to achieve without changing the method declaration in the super class and the field declaration in the sub class Thanks Calum,java
I have a class that I need to binary serialize The class contains one field as below private T m_data These multi dimensional arrays can be fairly large hundreds of thousands of elements and of any primitive type When I tried standard net serialization on an object the file written to disk was large and I think net is storing a lot of repeated data about element types and possibly not as efficiently as could be done I have looked around for custom serializers but have not seen any that deal with multi dimensional generic arrays I have also experimented with built in net compression on a byte array of the memory stream following serializing with some success but not as quick compressed as I had hoped My question is should I try and write a custom serializer to optimally serialize this array for the appropriate type this seems a little daunting or should I use standard net serialization and add compression Any advice on the best approach would be most appreciated or links to resources showing how to tackle serialization of a multi dimensional generic array as mentioned existing examples I have found do not support such structures,csharp
open_basedir limits the files that can be opened by PHP within a directory tree I am storing several class libraries and configuration files outside of my web root directory This way the web server does not make them publicly accessible However when I try to include them from my application I get an open_basedir restriction error like this Warning realpath function realpath open_basedir restriction in effect File var www vhosts domain tld zend application is not within the allowed path s var www vhosts domain tld httpdocs tmp in var www vhosts domain tld httpdocs index php on line 5 My web root is here var www vhosts domain tld httpdocs My libraries and configuration directory are here var www vhosts domain tld zend What would be the best workaround to relax the open_basedir restriction so that the the directory tree under the domain folder becomes available to my application I have a number of domains that I want to do this with and I m also obviously wary of creating security vulnerabilities Note I am using CentOS Apache Plesk and I have root ssh access to the server And though this doesn t apply to Zend Framework directly I am using it in this instance So here is the inclusion from Zend s bootstrap define APPLICATION_PATH realpath dirname __FILE__ zend application set_include_path APPLICATION_PATH zend library PATH_SEPARATOR get_include_path,php
Ruby on Rails has a lot of ways to generate JavaScript Particularly when it comes to Ajax Unfortunately there are a few problems that I often see with the JavaScript that it generates Rails typically uses inline event handling lt a onclick somejavascript return false gt This is generally frowned upon as it s mixing behavior in with the XHTML The generated JavaScript also relies heavily on Prototype Personally I prefer jQuery In my experience the attitude with a lot of Rails developers has been to write as much of the code in Ruby as possible The final step being to generate some very procedural and repetitive JavaScript Often this code ends up being very inflexible and difficult to debug So my question is how much JavaScript do you write manually for your projects and how much of it is generated server side with Rails Ruby Or is there a happy medium where you get the benefits of both With a subquestion if you write a lot of the JavaScript manually what techniques do you use to fit it into the MVC model,javascript
I need to perform a filtered query from within a django template to get a set of objects equivalent to python code within a view queryset Modelclass objects filter somekey foo In my template I would like to do for object in data somekey_set FILTER but I just can t seem to find out how to write FILTER,python
I am currently running gdb version 6 7 1 on Ubuntu Linux and working in a C project Surprisingly I was trying to debug a constructor and I have found that local variables declared within the scope of the constructor are not followed or noticed by gdb Is this a bug Thanks for any information,cpp
I have always found this to be a very useful feature in Visual Studio For those who don t know about it it allows you to edit code while you are debugging a running process re compile the code while the binary is still running and continue using the application seamlessly with the new code without the need to restart it How is this feature implemented If the code I am modifying is in a DLL loaded by the application does the application simply unload the DLL and reload it again This would seem to me like it would be prone to instability issues so I assume it would be smarter than this Any ideas,cpp
Hi Guys could you please help me refactor this so that it is sensibly pythonic import sys import poplib import string import StringIO rfc822 import datetime import logging def _dump_pop_emails self self logger info open pop account s with username s self account 0 self account 1 self popinstance poplib POP3 self account 0 self logger info self popinstance getwelcome self popinstance user self account 1 self popinstance pass_ self account 2 try numMsgs totalSize self popinstance stat for thisNum in range 1 numMsgs 1 server_msg body octets self popinstance retr thisNum text string join body n mesg StringIO StringIO text msg rfc822 Message mesg name email msg getaddr From emailpath str self _emailpath self _inboxfolder email _ msg getheader Subject eml emailpath self _replace_whitespace emailpath file open emailpath wb file write text file close self popinstance dele thisNum finally self logger info self popinstance quit def _replace_whitespace self name name str name return name replace _ Also in the _replace_whitespace method I would like to have some kind of cleaning routine which takes out all illegal characters which could cause processing Basically I want to write the email to the inbox directory in a standard way Am i doing something wrong here,python
I m after some good tips for fluent interfaces in C I m just learning about it myself but keen to hear what others think outside of the articles I am reading In particular I m after when is fluent too much are there any fluent patterns what is in C that makes fluent interfaces more fluent e g extension methods is a complex fluent interface still a fluent one refactoring to arrive at a fluent interface or refactoring an existing fluent interface any good examples out there that you have worked with or could recommend If you could post one tip or thought or whatever per post I want to see how they get voted on too Thank you in advance,csharp
I m trying to figure out how to pass arguments to an anonymous function in JavaScript Check out this sample code and I think you will see what I mean lt input type button value Click me id myButton gt lt script type text javascript gt var myButton document getElementById myButton var myMessage it s working myButton onclick function myMessage alert myMessage lt script gt When clicking the button the message it s working should appear However the myMessage variable inside the anonymous function is null jQuery uses a lot of anonymous functions what is the best way to pass that argument,javascript
I m trying to figure out how to pass arguments to an anonymous function in JavaScript Check out this sample code and I think you will see what I mean lt input type button value Click me id myButton gt lt script type text javascript gt var myButton document getElementById myButton var myMessage it s working myButton onclick function myMessage alert myMessage lt script gt When clicking the button the message it s working should appear However the myMessage variable inside the anonymous function is null jQuery uses a lot of anonymous functions what is the best way to pass that argument,javascript
When debugging in Internet Explorer I first get an alert box with extremely limited if not useless information sorry IE and choice to debug it After selecting yes I get another option every time to chose between New instance of Microsoft script debugger and New instance of Visual studio I m fed up of having to click the yes button again after having clicking it once already on the alert box Update I found that you can disable the microsoft script debugger from within its own options just disabling the JIT debugger from Tools Options and JIT This stops it appearing on the menu but now I get the dialog box asking me which one to choose and it only displays the one Visual Studio WHY If there s only one option and you ve already asked me if I want to debug why ask again Bleh can you tell I m getting sick of clicking yes twice Lol,javascript
I m tryint to post to a ADO NET Data Service but the parameters seems to get lost along the way I got something like WebInvoke Method POST public int MyMethod int foo string bar and I make an ajax call using prototype js as var args foo 4 bar test new Ajax Requst baseurl MyMethod method POST parameters args onSuccess jadda onFailure jidda If I replace method POST with method GET and WebInvoke Method POST with WebGet everything works but now using post all I get is Bad Request Error in query syntax from the service The only fix that I don t want to use is to send all parameters in the URL even when I perform a post Any ideas are welcome,javascript
We have a collection of photo images sizing a few hundred gigs A large number of the photos are visually duplicates but with differing filesizes resolution compression etc Is it possible to use any specific image processing methods to search out and remove these duplicate images,csharp
